paper_id,title,doi,year,journal,journal_if,reaction_type,first_author,search_relevance,evidence_type_candidate,pathway_hint,metadata_source,inclusion_status,manual_checked,notes
ETOH_011,"Tunable CO2 electroreduction to ethanol and ethylene with controllable interfacial wettability",10.1038/s41467-023-39351-2,2023,Nature Communications,15.7,CO2RR,unknown,high,"experiment; DFT","ethanol/ethylene branching; interfacial wettability",OpenAlex; DOI metadata,included,no,"Priority full-text target"
ETOH_012,"Accelerating electrochemical CO2 reduction to multi-carbon products via asymmetric intermediate binding force",10.1038/s41467-023-36926-x,2023,Nature Communications,15.7,CO2RR,unknown,medium,"experiment; DFT","asymmetric intermediate binding; C2+ pathway candidate",OpenAlex; DOI metadata,included,no,"Verify ethanol specificity"
ETOH_013,"Selectivity of Electrochemical CO2 Reduction toward Ethanol and Ethylene: The Key Role of Surface-Active Hydrogen",10.1021/acscatal.3c03797,2023,ACS Catalysis,13.1,CO2RR,unknown,high,"experiment; DFT","surface-active hydrogen; ethanol/ethylene selectivity",OpenAlex; DOI metadata,included,no,"Mechanism-focused paper"
ETOH_014,"Competition of CO and Acetaldehyde Adsorption and Reduction on Copper Electrodes and Its Impact on n-Propanol Formation",10.1021/acscatal.3c00190,2023,ACS Catalysis,13.1,CORR,unknown,low,"experiment; mechanism","acetaldehyde and CO adsorption; relevant branch chemistry",OpenAlex; DOI metadata,included_secondary,no,"Secondary: not ethanol main target, useful for acetaldehyde branch context"
ETOH_015,"CuAg bimetallic catalysts derived from an Ag-anchored Cu-based metal-organic framework for CO2 electroreduction to ethanol",10.1016/j.cej.2023.147204,2023,Chemical Engineering Journal,13.2,CO2RR,unknown,medium,"experiment; DFT","CuAg interface; ethanol selectivity",OpenAlex; DOI metadata,included,no,"Verify pathway evidence"
ETOH_016,"Key intermediates and Cu active sites for CO2 electroreduction to ethylene and ethanol",10.1038/s41560-024-01633-4,2024,Nature Energy,46.7,CO2RR,unknown,high,"operando; DFT","key intermediates; Cu active sites; ethanol/ethylene pathways",OpenAlex; DOI metadata,included,no,"Priority full-text target"
ETOH_017,"Manipulating C-C coupling pathway in electrochemical CO2 reduction for selective ethylene and ethanol production over single-atom alloy catalyst",10.1038/s41467-024-54636-w,2024,Nature Communications,15.7,CO2RR,unknown,high,"experiment; DFT","C-C coupling pathway manipulation; ethylene/ethanol selectivity",OpenAlex; DOI metadata,included,no,"Priority full-text target"
ETOH_018,"Switching CO2 Electroreduction toward Ethanol by Delocalization State-Tuned Bond Cleavage",10.1021/jacs.4c03830,2024,Journal of the American Chemical Society,15.6,CO2RR,unknown,high,"experiment; DFT","CH2=CHO* bifurcation; Cu-O vs O-C bond cleavage; ethanol pathway",OpenAlex; DOI metadata,included,no,"Priority full-text target"
ETOH_019,"Selective Electrosynthesis of Ethanol via Asymmetric C-C Coupling in Tandem CO2 Reduction",10.1021/acscatal.4c01579,2024,ACS Catalysis,13.1,CO2RR,unknown,high,"experiment; DFT","asymmetric C-C coupling; tandem CO2 reduction",OpenAlex; DOI metadata,included,no,"Priority full-text target"
ETOH_020,"Ni-Electrocatalytic CO2 Reduction Toward Ethanol",10.1002/adma.202410125,2024,Advanced Materials,26.8,CO2RR,unknown,medium,"experiment; DFT","Ni-based ethanol electrocatalysis; pathway candidate",OpenAlex; DOI metadata,included,no,"Verify mechanism depth"
ETOH_021,"Metal-Organic Framework Supported Low-Nuclearity Cluster Catalysts for Highly Selective Carbon Dioxide Electroreduction to Ethanol",10.1002/anie.202409270,2024,Angewandte Chemie International Edition,16.1,CO2RR,unknown,medium,"experiment; DFT","low-nuclearity cluster catalyst; ethanol selectivity",OpenAlex; DOI metadata,included,no,"Verify pathway evidence"
ETOH_022,"Electrosynthesis of ethanol via CO-CHx cross-coupling on copper alloy catalysts with engineered oxygen affinity",10.1038/s44160-025-00868-7,2025,Nature Synthesis,33.0,CORR,unknown,high,"experiment; DFT","CO-CHx cross-coupling",OpenAlex; DOI metadata,included,no,"Priority full-text target"
ETOH_023,"Subsurface engineering for directional-selective CO2-to-ethanol electrocatalysis at industrial-level",10.1038/s41467-025-67176-8,2025,Nature Communications,15.7,CO2RR,unknown,high,"in-situ spectroscopy; DFT","asymmetric C-C coupling; *CHCO to *CHCHO* branch; oxygen-binding intermediates",OpenAlex; DOI metadata,included,no,"Priority full-text target"
ETOH_024,"A chelate to break diffusion limits on Helmholtz plane for CO2 electroreduction to ethanol",10.1038/s41467-025-63009-w,2025,Nature Communications,15.7,CO2RR,unknown,high,"experiment; DFT","anion/Helmholtz-plane modulation; C2H5OH electrosynthesis pathway",OpenAlex; DOI metadata,included,no,"Priority full-text target"
ETOH_025,"Regulating the Oxophilicity of Cu Sites on Cu-Sn Heterostructures to Ultrahigh Selective Electroreduction of CO2 to Ethanol",10.1021/acscatal.5c06340,2025,ACS Catalysis,13.1,CO2RR,unknown,high,"in situ; DFT","Cu-Sn oxophilicity; asymmetric C-C coupling; *OCCOH; *CHCHOH",OpenAlex; DOI metadata,included,no,"Priority full-text target"
